cds	no	blowhard
ddp	yes	simple
an	no	rat
an	no	horner-man
cds	no	a little stupid
ps	yes	dumbbell
cds	no	boy crazily
ddp	yes	puerile
asm	no	fuck-head
cds	no	boy-crazier
svp	no	loafer
cds	no	dodger
ddp	yes	assh*l*
cds	no	reactionarism
an	no	vulgarity
dmc	yes	villainess
dmc	yes	hypocrisies
ddp	yes	idiot
ddp	yes	besot
cds	no	procurer
asm	no	bunco
cds	no	movie villains
asm	no	phuck
cds	no	sissy
cds	no	fascisti
ddp	yes	dull
an	no	dwarf
cds	no	sexual compulsion
re	no	rape on college campuses
cds	no	scrap steel
cds	no	demagogies
qas	no	blunderer
ddp	yes	motherfather
ddp	yes	tattletale
asm	no	effs
qas	no	fluff
ddp	yes	quacksalver
or	no	pussy
dmc	yes	villain
rci	yes	the karls
cds	no	disorder
pr	no	hooking
pr	no	tender parnel
cds	no	the m o f i a
cds	no	hauteur
asf	no	va-jay-jay
asf	no	tomfool
qas	no	dissembles
dmc	yes	pharisee
ps	yes	lummox
an	no	bitch
ddp	yes	stupid people
om	no	paederast
cds	no	layabout
ddp	yes	barbarously
asf	no	vaginal canal
dmc	yes	wrongly
asf	no	baby
ps	yes	half caste
ddp	yes	not the sharpest tool in the shed
rci	yes	ceorle
or	no	demanding
svp	no	gluttonous
cds	no	man-crazier
cds	no	idiot
dmc	yes	turn-coat
cds	no	snitcher
pr	no	beyotch
dmc	yes	wretched
cds	no	wretch
is	yes	sympathetic villain
cds	no	domestic waste
re	no	villain
an	no	roguery
re	no	mafia
dmc	yes	no-account
dmc	yes	evil
ddp	yes	twat
cds	no	self-love
asf	no	folderol
qas	no	butcher
cds	no	fibster
ddp	yes	health quackery
an	no	mug
dmc	yes	seedy
ps	yes	dummy
asm	no	folly
an	no	ungenerous
ddp	yes	dumbass
re	no	date raped
qas	no	vagabond
or	no	queerio
an	no	wittold
pr	no	slatternly
an	no	profiteer
cds	no	hyperphilia
dmc	yes	stink
cds	no	satyriasis
re	no	terrorist activity
asm	no	effers
ddp	yes	idiotic
svp	no	gormandism
ddp	yes	trumpery
ddp	yes	bird brain
asm	no	half-wit
asf	no	dumbbell
cds	no	henchmen
cds	no	so-and-so
cds	no	hoaxer
an	no	jack
re	no	mafias
cds	no	rumourmonger
cds	no	troublesome youth group
svp	no	miserliness
dmc	yes	bad person
dmc	yes	lingerer
asf	no	dunderheads
an	no	goof
re	no	unruly
pr	no	son of a bitch
an	no	rentboy
ddp	yes	bastard
cds	no	scallywag
svp	no	petulant
svp	no	goldbrick
cds	no	tarradiddle
dmc	yes	nitouche
cds	no	slug
dmc	yes	closed-minded
svp	no	vainglory
pr	no	kerb-crawler
cds	no	monkey
cds	no	the m.o.f.f.i.a.
dmc	yes	cheater
an	no	prostitution of males
cds	no	gouger
cds	no	artful
an	no	commonness
dmc	yes	barbarians in western cultures
cds	no	pack
cds	no	reprobate
cds	no	highwayman
an	no	male prostitution
cds	no	charlatan
dmc	yes	prevaricator
ps	yes	dunder headed
pa	yes	barbaric
rci	yes	barberian
dmc	yes	turn-coaters
qas	no	bobble
cds	no	nerveless
qas	no	taradiddle
an	no	cow
or	no	bird brain
an	no	headless
cds	no	rude
ddp	yes	headless
cds	no	sexually impulsive
ddp	yes	juvenile
asm	no	fukkit
re	no	violent sexuality
cds	no	mischievousness
cds	no	miscreants
cds	no	bungler
asm	no	fuckwad
dmc	yes	scoundrel
ddp	yes	nonesense
cds	no	municipal composting
ps	yes	jigaboo
cds	no	cocksure
cds	no	heel
pa	yes	uncouthness
