,label,tweet
0,1,"Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion  http://t.co/fej2v3OUBR
"
1,1,"@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing    ;)
"
2,1,"Hey there! Nice to see you Minnesota/ND Winter Weather 
"
3,0,"3 episodes left I'm dying over here
"
4,1,"""I can't breathe!"" was chosen as the most notable quote of the year in an annual list released by a Yale University librarian 
"
5,0,"You're never too old for Footie Pajamas. http://t.co/ElzGqsX2yQ
"
6,1,"Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. 
"
7,0,"4:30 an opening my first beer now gonna be a long night/day
"
8,0,"@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.
"
9,0,"@samcguigan544 You are not allowed to open that until Christmas day!
"
10,1,"Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. 
"
11,0,"But instead, I'm scrolling through Facebook, Instagram, and Twitter for hours on end, accomplishing nothing. 
"
12,0,"@TargetZonePT :pouting_face: no he bloody isn't I was upstairs getting changed !
"
13,0,"Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture?
"
14,1,"Just great when you're mobile bill arrives by text 
"
15,1,"crushes are great until you realize they'll never be interested in you.| :p
"
16,1,"Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. 
"
17,0,"I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day.||#Eating|#food| |#WorkingOut
"
18,1,"@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade. 
"
19,1,"But @DarklightDave was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!!
"
20,1,"@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone 
"
21,0,"I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @AZEALIABANKS tho....this girl got IT.
"
22,1,"@yWTorres9 time to hit the books then 
"
